controller,scenario_name,interactive_week,cumulative_profit_mean,cumulative_profit_ci_lower,cumulative_profit_ci_upper
a3c,base_market,3,0.0,0.0,0.0
a3c,base_market,4,483.5739837685255,-375.05360847439346,1259.1518161923111
a3c,base_market,5,1921.5102397126395,325.72677003836515,3358.413065880841
a3c,base_market,6,2177.993799679442,-1492.1520509498507,5200.690979427388
a3c,base_market,7,8738.574346882428,5648.042738019778,11856.186622193429
a3c,base_market,8,13754.684357495775,10634.656366044685,17041.427839509608
a3c,base_market,9,22284.73332269154,18248.306293461093,25631.35052562508
a3c,base_market,10,33075.04968826269,28335.12188180956,37604.26134358378
a3c,base_market,11,44392.758128003225,34835.08754427465,52625.814340339464
a3c,base_market,12,57374.8316100375,47522.31367586359,66353.29878440443
a3c,base_market,13,75141.19932108621,63575.46844768705,86156.10132586215
a3c,base_market,14,88239.67840897532,73901.59385316982,101035.40584763681
a3c,base_market,15,100956.19570704717,84590.99567387218,115973.59108103854
a3c,base_market,16,118484.24025110995,103624.42310458569,132673.618038603
a3c,base_market,17,132516.04035539107,116500.2967086667,148632.90850481813
a3c,base_market,18,147425.0410210835,127448.66321699262,165188.10494786804
a3c,base_market,19,163566.70721778055,141057.4960727965,185867.00763191935
a3c,base_market,20,176056.26595038048,151526.083372924,199539.7310150365
a3c,base_market,21,190962.04114198845,163771.25723919124,215676.2190581079
a3c,base_market,22,207063.5811652051,174844.7398577079,233997.73076696493
a3c,base_market,23,219177.57656015805,184102.06441336218,247366.7368438591
a3c,base_market,24,236333.16035206616,195312.98928202857,269104.28952850593
a3c,base_market,25,389042.64461907925,310348.7582634081,451532.0067681361
a3c,class_imbalance_shift,0,0.0,0.0,0.0
a3c,class_imbalance_shift,1,0.0,0.0,0.0
a3c,class_imbalance_shift,2,0.0,0.0,0.0
a3c,class_imbalance_shift,3,0.0,0.0,0.0
a3c,class_imbalance_shift,4,214.7284783130298,-306.6987188981938,680.8722602592517
a3c,class_imbalance_shift,5,973.3373235413463,-745.6536880924518,2213.736610260059
a3c,class_imbalance_shift,6,2044.019063408182,18.34548552138321,4239.989715181034
a3c,class_imbalance_shift,7,5819.559690029398,3217.7860618647,8069.12676572899
a3c,class_imbalance_shift,8,12946.082386983822,10405.381388373835,15640.66425548843
a3c,class_imbalance_shift,9,20318.578141291597,16834.93817288787,23172.950132205016
a3c,class_imbalance_shift,10,31346.094472789013,26752.50968730243,35947.480515801464
a3c,class_imbalance_shift,11,41225.82483411638,35648.66402248938,46289.95994280424
a3c,class_imbalance_shift,12,56571.37366653545,50687.81864127181,62675.98000058172
a3c,class_imbalance_shift,13,68028.111899583,60421.38306425281,74703.8906529909
a3c,class_imbalance_shift,14,84205.02158158836,75820.5483352421,92116.09530642751
a3c,class_imbalance_shift,15,94965.61608310252,86590.89413672754,104069.64830053142
a3c,class_imbalance_shift,16,109233.20158765833,99904.63807126369,120238.60074336048
a3c,class_imbalance_shift,17,122965.1349233929,111997.37155305862,136124.31654895985
a3c,class_imbalance_shift,18,136503.31219403082,123977.75851764562,149742.48129030308
a3c,class_imbalance_shift,19,149534.5550491373,134487.33917599075,164984.7753350112
a3c,class_imbalance_shift,20,164766.29469134184,143671.13440688598,185492.10774468983
a3c,class_imbalance_shift,21,180488.851309684,159114.5326399065,200699.43877424672
a3c,class_imbalance_shift,22,191182.65703664682,170074.1469815968,212593.6970844274
a3c,class_imbalance_shift,23,201031.83157268516,177604.144473965,224953.75285690665
a3c,class_imbalance_shift,24,213123.49276304853,185047.42827782786,238797.51389217083
a3c,class_imbalance_shift,25,350409.56482207193,274125.8393936541,411743.44183961477
a3c,drift,0,0.0,0.0,0.0
a3c,drift,1,0.0,0.0,0.0
a3c,drift,2,0.0,0.0,0.0
a3c,drift,3,0.0,0.0,0.0
